t_ms,power_w,temp_c,clock_mhz,label
34744,29.92,51,1620,decoy1
34840,28.43,51,1620,decoy1
34951,24.18,51,1620,decoy1
35061,24.17,51,1620,decoy1
35186,34.47,51,1620,decoy1
35294,24.24,51,1620,decoy1
35402,24.22,51,1620,decoy1
35499,24.23,51,1620,decoy1
35624,33.18,52,1620,decoy1
35716,24.17,52,1620,decoy1
35824,24.23,52,1620,decoy1
35952,26.63,52,1620,decoy1
36057,37.17,52,1155,decoy1
36155,30.15,52,1155,decoy1
36244,21.12,52,1110,decoy1
36354,20.69,52,1110,decoy1
36465,20.85,52,1020,decoy1
36591,23.24,52,990,decoy1
36681,23.24,51,990,decoy1
36792,19.28,51,900,decoy1
36926,20.96,51,900,decoy1
37012,24.49,51,870,decoy1
37118,19.11,51,870,decoy1
37216,19.08,51,795,decoy1
37344,20.19,51,795,decoy1
37446,27.53,51,810,decoy1
37542,21.79,51,810,decoy1
37651,19.04,51,810,decoy1
37759,19.09,51,810,decoy1
37868,19.65,51,810,decoy1
37990,25.64,51,810,decoy1
38101,19.05,51,810,decoy1
38196,20.33,51,810,decoy1
38349,26.33,51,810,decoy1
38429,23.22,51,840,decoy1
38525,19.07,51,840,decoy1
38651,19.07,51,840,decoy1
38757,19.13,51,840,decoy1
38867,23.15,51,840,decoy1
38973,22.29,51,840,decoy1
39069,19.1,51,840,decoy1
39192,9.34,51,840,decoy1
39302,13.52,51,840,decoy1
39410,18.62,51,1260,decoy1
39500,21.46,51,1260,decoy1
39610,21.49,51,1260,decoy1
39718,21.51,51,1260,decoy1
39844,24.54,51,1260,decoy1
39939,26.39,51,1260,decoy1
40047,21.55,51,1260,decoy1
40159,21.55,51,1260,decoy1
40283,21.53,51,1260,decoy1
40394,28.55,52,1260,decoy1
40483,21.56,52,1260,decoy1
40595,21.5,52,1260,decoy1
40718,31.71,52,1260,decoy1
40828,23.98,52,1260,decoy1
40937,21.51,52,1260,decoy1
41047,21.47,52,1260,decoy1
41142,21.48,52,1260,decoy1
41260,25.52,52,945,decoy1
41353,22.55,52,945,decoy1
41482,19.21,51,885,decoy1
41590,12.31,51,885,decoy1
41700,9.53,51,810,decoy1
41817,15.31,51,1080,decoy1
41903,18.93,51,1080,decoy1
42014,20.64,51,1080,decoy1
42108,20.64,51,1080,decoy1
42236,21.64,51,1080,decoy1
42344,27.35,51,1080,decoy1
42440,20.61,51,1080,decoy1
42564,20.58,52,1080,decoy1
42681,23.83,52,1080,decoy1
42763,30.03,52,1080,decoy1
42890,20.98,52,1080,decoy1
42984,20.63,52,1080,decoy1
43095,20.64,52,1080,decoy1
43222,27.49,52,1080,decoy1
43330,21.1,52,1080,decoy1
43439,20.66,52,1080,decoy1
43554,20.61,52,1080,decoy1
43658,28.17,52,765,decoy1
43751,17.03,52,765,decoy1
43860,10.53,52,750,decoy1
43985,18.74,52,750,decoy1
44097,19.25,52,690,decoy1
44204,26.21,52,690,decoy1
44297,19.08,52,690,decoy1
44432,19.11,52,630,decoy1
44534,16.77,52,630,decoy1
44641,18.78,52,1455,decoy1
44746,34.46,52,1455,decoy1
44855,35.24,52,1635,decoy1
44989,38.33,52,1635,decoy1
45061,37.83,52,1635,decoy1
45155,35.64,53,1635,decoy1
45262,24.41,53,1635,cool
45374,24.39,53,1635,cool
45483,24.39,53,1635,cool
45594,24.41,53,1635,cool
45706,24.42,53,1635,cool
45817,24.47,53,1635,cool
45928,24.43,53,1635,cool
46039,24.44,53,1635,cool
46148,24.42,53,1635,cool
46260,24.4,53,1635,cool
46371,24.46,53,1635,cool
46486,24.4,53,1635,cool
46600,24.41,53,1635,cool
46705,24.28,53,540,cool
46817,19.14,52,540,cool
46928,19.11,52,495,cool
47037,19.13,52,450,cool
47162,18.98,52,450,cool
47256,19.07,52,405,cool
47370,19.03,52,405,cool
47481,19.01,52,375,cool
47591,18.92,52,375,cool
47702,19.03,52,375,cool
47815,18.94,52,375,cool
47928,18.98,52,375,cool
48044,18.99,52,375,cool
48148,9.06,52,375,cool
48272,9.29,52,360,cool
48367,8.93,52,360,cool
48481,8.84,51,360,cool
48590,8.93,51,360,cool
48701,9.03,51,360,cool
48813,8.89,51,360,cool
48924,8.95,51,360,cool
49038,8.88,51,360,cool
49145,8.78,51,360,cool
49273,8.93,51,300,cool
49366,9.14,51,300,cool
49477,8.84,51,300,cool
49606,8.84,50,300,cool
49697,9.06,50,300,cool
49824,8.91,50,300,cool
49919,6.46,50,300,cool
50030,4.33,50,300,cool
50142,4.29,50,300,cool
50252,4.24,50,300,cool
50362,4.38,50,300,cool
50475,4.21,50,300,cool
50586,4.37,50,300,cool
50698,4.45,50,300,cool
50809,4.54,50,300,cool
50921,4.47,50,300,cool
51031,4.59,50,300,cool
51157,4.14,50,300,cool
51251,4.38,50,300,cool
51363,4.31,50,300,cool
51474,4.15,50,300,cool
51584,4.33,50,300,cool
51697,4.36,50,300,cool
51807,4.51,50,300,cool
51918,4.34,50,300,cool
52028,4.53,50,300,cool
52138,4.34,50,300,cool
52251,4.31,50,300,cool
52359,4.2,50,300,cool
52470,4.24,50,300,cool
52580,4.3,50,300,cool
52691,4.58,50,300,cool
52807,4.35,50,300,cool
52913,4.56,50,300,cool
53024,4.58,50,300,cool
53135,4.45,50,300,cool
53245,4.31,50,300,loop2
53356,4.37,50,300,loop2
53464,4.41,50,300,loop2
53593,6.88,50,300,loop2
53682,12.03,50,360,loop2
53792,12.51,50,360,loop2
53901,12.82,51,1455,loop2
54011,34.95,51,1455,loop2
54114,34.79,51,1665,loop2
54239,36.14,51,1665,loop2
54334,24.59,51,1665,loop2
54461,24.59,52,1665,loop2
54572,38.3,52,1665,loop2
54661,38.3,52,1665,loop2
54783,36.22,52,1665,loop2
54879,36.66,52,1665,loop2
55002,24.8,53,1665,loop2
55110,24.73,53,1665,loop2
55226,26.52,53,1665,loop2
55327,37.42,53,1665,loop2
55435,38.68,53,1665,loop2
55581,32.85,53,1665,loop2
55654,32.85,53,1665,loop2
55746,24.58,53,1665,loop2
55874,28.48,53,1440,loop2
56013,33.13,53,1440,loop2
56113,33.92,53,1500,loop2
56198,33.43,53,1500,loop2
56310,31.43,53,1500,loop2
56401,23.24,53,1500,loop2
56512,23.24,53,1500,loop2
56636,28.55,53,1500,loop2
56744,34.15,53,1500,loop2
56853,36.91,53,1500,loop2
56946,34.45,53,1590,loop2
57055,28.28,53,1590,loop2
57167,23.93,53,1590,loop2
57289,35.01,53,1590,loop2
57388,35.51,53,1590,loop2
57507,35.93,53,1590,loop2
57614,37.38,53,1590,loop2
57721,25.3,53,1590,loop2
57814,23.97,53,1590,loop2
57943,23.97,53,1590,loop2
58051,34.33,53,1590,loop2
58160,33.84,53,1590,loop2
58273,35.38,54,1590,loop2
58377,36.36,54,1590,loop2
58487,23.96,54,1590,loop2
58579,24.02,54,1590,loop2
58727,24.99,53,1260,loop2
58818,29.47,53,1260,loop2
58906,31.51,53,1275,loop2
59014,30.31,53,1275,loop2
59109,31.16,53,1320,loop2
59236,24.5,53,1320,loop2
59342,22.05,53,1320,loop2
59456,22.01,53,1320,loop2
59569,26.01,53,1320,loop2
59673,31.97,53,1320,loop2
59816,34.14,54,1410,loop2
59886,27.49,54,1410,loop2
59980,27.49,54,1410,loop2
60106,22.62,54,1410,loop2
60222,28.07,54,1410,loop2
60325,33.24,54,1410,loop2
60435,34.11,54,1410,loop2
60526,33.68,54,1530,loop2
60653,27.68,54,1530,loop2
60746,23.63,54,1530,loop2
60876,23.62,54,1530,loop2
60965,31.02,54,1530,loop2
61091,35.98,54,1530,loop2
61198,32.43,54,1530,loop2
61306,31.54,54,1530,loop2
61401,23.57,54,1530,loop2
61524,23.53,54,1530,loop2
61636,25.93,54,1530,loop2
61766,33.61,54,1530,loop2
61853,35.35,55,1530,loop2
61929,34.02,55,1530,loop2
62052,34.53,55,1530,loop2
62161,25.67,55,1530,loop2
62271,23.65,55,1530,loop2
62382,23.63,54,1245,loop2
62496,25.5,54,1230,loop2
62598,31.41,54,1230,loop2
62707,31.74,54,1440,loop2
62815,27.94,54,1440,loop2
62923,22.86,54,1440,loop2
63030,22.94,54,1440,loop2
63143,27.3,54,1440,loop2
63250,31.37,54,1440,loop2
63365,33.04,54,1440,loop2
63466,34.19,55,1440,loop2
63558,32.43,55,1440,loop2
63667,22.94,55,1440,loop2
63784,22.9,55,1440,loop2
63901,26.91,55,1440,loop2
64014,34.85,55,1440,loop2
64121,34.64,55,1575,loop2
64226,29.33,55,1575,loop2
64334,23.94,55,1575,loop2
64427,23.92,55,1575,loop2
64554,30.36,55,1575,loop2
64661,36.49,55,1575,loop2
64809,37.07,55,1575,loop2
64881,37.04,55,1575,loop2
64971,27.29,55,1575,loop2
65082,24,54,1575,loop2
65208,23.93,54,1575,loop2
65300,32.45,54,1575,loop2
65408,37.17,54,1575,loop2
65580,33.84,55,1575,loop2
65626,23.94,55,1575,loop2
65736,23.95,55,1575,loop2
65864,25.33,55,1575,loop2
65972,33.98,55,1335,loop2
66108,32,55,1335,loop2
66174,32.89,55,1440,loop2
66283,33.44,55,1440,loop2
66377,23.39,55,1440,loop2
66498,22.99,55,1440,loop2
66612,22.98,55,1440,loop2
66730,32.45,55,1440,loop2
66813,33.91,55,1440,loop2
66935,34.4,55,1515,loop2
67099,23.38,54,1515,loop2
67173,23.49,54,1515,loop2
67244,23.54,54,1515,loop2
67371,23.53,54,1515,loop2
67479,31.2,54,1515,loop2
67598,36.1,55,1515,loop2
67683,35.38,55,1515,loop2
67793,35.67,55,1515,cool
67887,25.58,55,1515,cool
67999,23.6,55,1515,cool
68109,23.59,54,1515,cool
68220,23.59,54,1515,cool
68332,23.59,54,1515,cool
68462,23.54,54,1515,cool
68576,23.58,54,1515,cool
68725,23.58,54,1515,cool
68823,23.42,54,870,cool
68904,19.26,54,870,cool
68982,19.2,54,795,cool
69090,19.22,54,795,cool
69202,19.28,54,720,cool
69312,19.22,54,720,cool
69423,19.22,54,660,cool
69532,19.18,54,600,cool
69646,19.14,54,600,cool
69755,18.74,54,555,cool
69866,9.68,54,555,cool
69978,9.46,54,495,cool
70087,9.01,54,495,cool
70199,9.43,52,450,cool
70305,9.03,52,450,cool
70416,9.41,52,420,cool
70540,8.93,52,375,cool
70638,8.82,52,375,cool
70771,9.34,52,360,cool
70860,8.84,52,360,cool
70972,8.85,52,360,cool
71084,8.88,52,360,cool
71192,8.91,52,360,cool
71303,8.87,52,360,cool
71413,8.94,52,360,cool
71524,8.91,52,360,cool
71634,6.51,52,360,cool
71747,4.36,52,360,cool
71858,4.32,52,360,cool
71968,4.32,52,360,cool
72079,4.47,52,360,cool
72189,4.5,52,360,cool
72300,4.39,52,360,cool
72414,4.45,52,360,cool
72521,4.51,52,360,cool
72635,5,52,300,cool
72745,4.45,52,300,cool
72872,4.19,52,300,cool
72964,4.51,52,300,cool
73075,4.45,52,300,cool
73187,4.39,52,300,cool
73297,4.39,52,300,cool
73408,4.52,52,300,cool
73519,4.43,52,300,cool
73629,4.58,52,300,cool
73739,4.39,52,300,cool
73851,4.24,52,300,cool
73963,4.47,52,300,cool
74073,4.26,52,300,cool
74182,4.54,52,300,cool
74295,4.34,52,300,cool
74404,4.53,52,300,cool
74515,4.4,51,300,cool
74623,4.72,51,300,cool
74734,4.47,51,300,cool
74845,4.61,51,300,cool
74956,4.38,51,300,cool
75070,4.18,52,300,cool
75182,4.53,52,300,cool
75295,4.34,52,300,cool
75404,4.41,52,300,cool
75530,4.28,51,300,cool
75622,4.67,51,300,cool
75734,4.32,51,300,cool
75859,4.14,51,300,decoy2
75952,4.48,51,300,decoy2
76080,4.83,51,300,decoy2
76174,10.66,51,360,decoy2
76287,12.33,51,360,decoy2
76412,16.54,51,1455,decoy2
